id,name,party
ul,Ursula von der Leyen ,CDU
lk,Lars Klingbein,SPD
nr,Norbert Röttgen,CDU
sw,Sarah Wagenknecht,Linke
cs,Constanze Stelzenmüller,NA
lk,Lars Klingbein,SPD
lk,Lars Klingbein,SPD
lk,Lars Klingbein,SPD
cl,Christian Lindner,FDP
ks,Karl Schnögel,NA
lm,Lydmida Melnyk,NA
kd,Kristina Dunz,NA
el,Egis Levits,NA
ab,AnnaLena Baerbock,Gruene
ft,Franz Timmer ,NA
am,Andre Melnyk,NA
al,Alexander Lamsdorf,FDP
er,Egon Rams,NA
rh,Robert Habeck,Gruene
cm,Claudia Major,NA
kp,Katja Petrowska,NA
rk,Roderich Kiesewetter ,CDU